week	dk1_price_vol	dk1_load_vol	dk1_wind_vol	dk1_pen_vol	dk1_exim_vol	dk1_load	dk1_wind	dk1_pen	dk1_exim
158	1.300659146	5.42677261	6.609568904	-1.137411405	5.978564251	7.736782329	7.297306232	-0.427341963	0.410673438
159	1.198412853	5.312090132	5.984729502	-1.890363465	5.69699233	7.856575431	6.338962091	-1.501267172	-0.730050595
160	1.84339805	5.45398953	5.826075554	-1.920767451	6.565195658	7.900321191	6.370726229	-1.463460164	-0.163611905
161	2.308156378	5.455347851	6.684824309	-1.123946766	6.610126647	7.898291729	7.030030854	-0.795672689	0.154669643
162	1.251205872	5.233112775	6.466263234	-1.435239666	5.889835666	7.853040623	7.308841767	-0.523278322	0.735867857
163	1.342512751	5.20078259	6.425986148	-1.484474815	6.376312826	7.849623249	6.792845344	-1.053834233	0.174293452
164	1.30402765	5.475590986	5.993461853	-1.935448076	5.742669053	7.857199823	6.198611789	-1.668691716	-0.407170238
165	1.758696098	5.17096571	6.233253848	-1.574561582	6.352393789	7.848292531	6.744241457	-1.081370919	0.16627619
166	0.988257553	5.540613813	6.358077509	-1.370878542	6.167469631	7.827243275	6.806691076	-0.949746798	0.244416667
167	2.145878391	5.148829237	6.997008564	-0.698021238	6.709060118	7.786410897	7.340020727	-0.386477858	0.507690476
168	2.636959558	5.551196536	6.800966703	-0.7877464	6.43875719	7.821507076	7.021769316	-0.693629348	0.492707738
169	2.085168395	5.43385169	6.503097244	-1.286257719	6.181546223	7.850384191	7.415812789	-0.403176228	1.112355952
170	0.482070156	5.597114209	5.308775772	-2.414921733	5.321946854	7.691541302	6.309485284	-1.378105905	0.898557738
171	1.33203564	5.527903827	5.565589976	-1.966761937	5.748341076	7.732799705	6.02144224	-1.654645978	0.439325595
172	1.882780205	5.354810202	6.321312468	-1.407211732	5.810189784	7.741427568	6.736479634	-0.991749532	0.609414286
173	1.961295105	5.307164893	6.75692052	-0.970103617	5.594751037	7.66906165	7.231213781	-0.43946044	0.853542857
174	1.300004998	5.431868125	6.343090954	-1.398696048	5.541391934	7.658143211	6.835197387	-0.831418168	0.703544048
175	0.608556333	5.417717283	6.597729972	-1.129095458	4.871763851	7.64194443	6.878822888	-0.766182448	0.82582381
176	1.254326579	5.350207427	6.068314957	-1.507822553	5.579606335	7.595327424	6.446881276	-1.119971729	0.585994048
177	1.337362551	5.669702865	6.014028917	-1.620546431	6.28061947	7.624566669	6.821393042	-0.791949411	0.469145833
178	1.990959699	5.579149158	6.506585586	-1.152060057	6.524823027	7.606263066	6.748619974	-0.840363658	-0.28853631
179	1.598614394	5.521493837	6.439218562	-0.915123329	6.664734631	7.623193817	6.721318122	-0.810728313	-0.211643452
180	4.931233533	5.267460612	6.190460325	-1.415022233	5.988952826	7.58166503	6.423652725	-1.127466423	-0.061806548
181	1.694391474	5.488424654	6.446284697	-1.203291492	6.348606508	7.672095686	6.854297991	-0.797650809	0.123613095
182	2.139968351	5.471701874	6.173488908	-1.203303863	6.210649067	7.654835273	6.62428654	-0.904069044	-0.000890476
183	1.22280455	5.529170572	5.968657205	-1.478519612	6.346777302	7.660403201	7.058809332	-0.547131618	0.120220238
184	1.389629728	5.511695577	5.00280829	-2.757751486	6.330013668	7.645352152	5.98634731	-1.653341562	-0.651289286
185	1.01866782	5.373265829	6.378084027	-1.051058234	6.549345122	7.603031145	6.666570495	-0.865643979	-0.47336131
186	0.904608504	4.971264875	6.088888746	-1.53812798	6.105287795	7.557059413	6.573414103	-0.996922137	-0.444132738
187	1.822477582	4.706922049	5.557961599	-1.928902456	6.585496518	7.579350446	5.484994503	-2.043487001	-0.708445833
188	1.434147872	5.203084312	5.704350124	-1.705143445	6.17362246	7.584891029	6.377344266	-1.167043957	-0.251985714
189	1.061538889	5.440910024	5.792644484	-1.699073079	6.157829942	7.661857559	6.571916175	-1.032307256	-0.128475
190	1.08075051	5.451224624	6.102751009	-1.525973763	5.783943204	7.641924434	7.102234771	-0.514246617	0.196294643
191	2.148665873	5.42000205	5.623219723	-1.759038308	5.917089163	7.635168726	6.120101167	-1.403545018	-0.369439286
192	2.237529187	5.530688296	6.494139773	-0.939892768	6.191294445	7.668013005	6.582775088	-0.963177792	-0.304582738
193	2.061353117	5.448348511	6.453171996	-1.210943917	5.980829742	7.650279186	6.965411915	-0.641518155	-0.07154881
194	1.862844975	5.444782508	5.765762493	-1.686471612	5.890206897	7.672912996	6.050631524	-1.514648122	-0.34644881
195	2.210101591	5.495358963	6.421716849	-1.186565073	5.643258704	7.697283494	6.642238431	-0.99651613	-0.010040476
196	2.18419305	5.38979792	5.9183425	-1.707842237	5.108222825	7.692295345	6.175619739	-1.46312608	-0.06007619
197	2.091890759	5.456630822	6.395994105	-1.355147918	4.69659486	7.678152811	7.035603888	-0.627668909	0.186769643
198	1.357703489	5.413130806	5.941656107	-1.502331592	5.995754935	7.695660539	6.987545207	-0.635747285	0.258208929
199	1.854747009	5.199886012	5.44986108	-2.102684336	5.162326102	7.696071937	6.383577015	-1.232946357	-0.034855952
200	2.364791817	5.502153381	6.450694653	-1.020112229	6.24320767	7.709549497	7.38932936	-0.254402463	0.623297857
201	2.068978916	5.498134517	6.582895492	-1.05278241	5.934242931	7.766923731	7.483609259	-0.237512333	0.802919643
202	1.26159483	5.426302371	5.613462411	-1.970997855	6.0845349	7.769916618	6.900790606	-0.814854397	0.412123214
203	1.211032367	5.518182812	6.147629431	-1.464141087	6.081298752	7.781488881	7.14182935	-0.568260621	-0.188519643
204	1.336677641	5.449435208	5.957590101	-1.537475396	6.258391818	7.821394881	6.511851459	-1.227076948	0.088736905
205	1.978323316	5.475378843	6.679059152	-0.985026123	6.552401195	7.799670372	7.324560605	-0.412087416	0.567700595
206	1.818155814	5.29346114	6.468813761	-1.391460158	6.796902846	7.830971971	7.464547356	-0.323043023	0.46263631
207	2.009637938	5.443713897	6.330434754	-1.223588536	6.489428417	7.805511008	6.924015224	-0.784325252	-0.281920238
208	2.400948379	5.181543944	6.793403404	-0.824609255	6.668664527	7.804110518	7.583692718	-0.154352709	0.341189286
209	2.373548843	4.772244088	6.715684631	-0.981481636	6.381267453	7.6436198	7.613466063	-0.010642718	0.637741667
210	1.608391693	4.913122495	6.094271182	-1.589515234	6.125279709	7.693429414	7.237590959	-0.414558001	0.429916667
211	1.123562237	5.291647534	5.958634212	-1.958981613	5.503225207	7.824543506	7.640886961	-0.138378252	0.623009524
212	2.150811109	5.067323175	6.851654045	-0.896759079	6.67384003	7.860582263	7.559944047	-0.260919384	0.327945833
213	1.821789329	5.103226882	5.947479961	-1.759968327	6.393652099	7.922023626	7.733673146	-0.149265201	0.655982738
214	1.309499258	5.601070428	6.144015032	-1.802188871	5.935982159	7.918141167	7.644189984	-0.246222198	0.59045119
215	1.623342133	5.317259942	6.465287725	-1.189598085	6.755630851	7.860586854	7.451594203	-0.359684782	0.362002381
216	2.06136365	5.136150611	6.897642138	-0.802142236	6.563348341	7.837815067	7.592125963	-0.184621407	0.332130952
217	1.678521298	5.197918309	6.619864256	-1.052296616	6.763183786	7.830841914	7.1895091	-0.574031051	-0.170017262
218	1.646005585	5.198920256	6.394378964	-1.42689497	6.585254869	7.80386274	6.867354823	-0.925768134	-0.781660714
219	1.921640021	5.448374737	6.758477107	-1.013971438	6.817265684	7.802642388	7.187711153	-0.570994784	-0.277958929
220	2.526890371	4.85208395	7.009469571	-0.656005445	7.013041769	7.780899889	7.24878768	-0.472469398	-0.435899405
221	0.923376709	5.412187253	6.479864983	-1.448550955	5.96706004	7.77585067	7.59321825	-0.179259504	0.176774405
222	0.047870386	5.441513962	6.359405627	-1.443628962	6.0777247	7.759104869	6.427643592	-1.332371326	-0.7807625
223	1.247339075	5.289026751	6.101301032	-1.671450337	6.060401661	7.763469156	6.630738353	-1.1044311	-0.843294643
224	1.904758526	5.274768413	6.752942684	-0.928918843	6.885890764	7.752051189	7.211534769	-0.503277601	-0.417170238
225	1.615561419	5.541683672	6.685186755	-1.024838214	6.181043162	7.622314435	7.199340439	-0.437075025	-0.015301786
226	1.228774967	5.45861898	5.333702121	-2.10173909	5.593575794	7.640961306	6.808230875	-0.781861927	-0.370598214
227	1.578153956	5.103534073	5.792072237	-1.758177628	5.957032096	7.645286673	6.246418179	-1.334380421	-0.189033333
228	1.816455284	5.175160885	5.791957073	-1.97451025	5.42232655	7.698431496	6.410302145	-1.290743577	0.3689875
229	1.199955131	5.558821953	6.128783283	-1.665583608	6.021770188	7.665231695	6.340926037	-1.370890297	-0.133957143
230	1.609346075	5.32930715	5.818252266	-1.955066295	5.767954693	7.67645157	6.204846321	-1.474724525	-0.767397619
231	2.167506911	5.360523994	6.437442782	-1.31127932	5.756634158	7.64737702	6.781645259	-0.876362744	-0.488472024
232	1.792995354	5.489176193	5.465038489	-2.19912375	5.200512414	7.6703369	5.776306143	-1.869371918	-0.639460714
