date	de_price_vol	de_load	de_wind	de_solar	de_res	de_wind_pen	de_solar_pen	de_res_pen	de_op1_exim	de_op2_exim	de_p_exim
20/05/12	1.825944468	10.65470118	8.260295168	8.75943301	9.233835581	-2.396559508	-1.980226826	-1.47373407	0.342125	-0.4855	1.12175
21/05/12	2.556478649	10.9132709	8.600868601	8.556419914	9.272038378	-2.273182099	-2.513645865	-1.693056296	0.119625	1.80575	2.130666667
22/05/12	2.298173976	10.9555242	8.195808168	8.602768298	9.112996181	-2.684142667	-2.487375536	-1.887780046	-0.130875	0.7665	0.918416667
23/05/12	2.2017554	10.96680868	8.432286326	8.689866723	9.262494337	-2.508577835	-2.412378105	-1.766174437	-0.270625	1.93475	2.091666667
24/05/12	2.216757384	10.9526973	8.82327102	8.776145424	9.493132979	-2.114232931	-2.309550284	-1.513983379	-0.6055	0.6625	1.90825
25/05/12	1.969097769	10.92738752	8.419239989	8.918560387	9.392894003	-2.474146631	-2.146002584	-1.603527572	-0.626625	0.58275	1.517166667
26/05/12	2.087878401	10.75382543	7.974790611	8.956924908	9.275022887	-2.75233376	-1.902969348	-1.546913921	-1.32175	-0.84275	1.06025
27/05/12	2.064031336	10.60025837	7.309360587	8.678422544	8.905036414	-3.273593617	-1.99724423	-1.751123361	-1.017375	-0.94025	0.845583333
28/05/12	2.081741807	10.62144319	7.275954706	8.777922434	8.978977037	-3.367501471	-1.919260103	-1.708202758	-0.7205	-0.2195	0.129166667
29/05/12	2.232716535	10.89633184	8.615675985	8.789087922	9.399283396	-2.293936044	-2.258308896	-1.582816636	-0.11575	1.7875	2.3005
30/05/12	2.159137804	10.94424928	7.970095968	8.684422014	9.082877221	-3.002339878	-2.386392412	-1.954526298	-0.25925	0.77925	1.939833333
31/05/12	2.133755075	10.95843164	7.77182562	8.496028968	8.891248812	-3.213472556	-2.595897079	-2.164601613	0.60825	0.82425	1.04375
01/06/12	2.08829638	10.85960378	9.375302221	8.346467739	9.680890492	-1.495431151	-2.634794416	-1.217782197	1.913	1.789	1.95875
02/06/12	1.76870114	10.69422734	8.922628132	8.773948905	9.544196347	-1.770747311	-2.011700959	-1.190837111	0.689625	-0.72325	0.81875
03/06/12	2.149007072	10.63620595	7.732941359	7.987720552	8.561570339	-2.896721519	-2.732415239	-2.118050418	-0.93775	-0.596	-1.652333333
04/06/12	2.7438546	10.90228795	7.936080854	8.242085562	8.793889863	-2.943273128	-2.815568048	-2.184236218	-1.40225	1.016	-0.20475
05/06/12	2.363400691	10.89669766	8.659191617	8.691076503	9.368408316	-2.225897885	-2.334419651	-1.585540187	1.136125	0.212	1.993583333
06/06/12	2.322240612	10.91319197	8.221355284	8.133856313	8.871709683	-2.704819758	-2.91424062	-2.11091086	-0.107625	1.05525	1.041666667
07/06/12	1.872330464	10.74963654	7.787954995	8.408097096	8.838494138	-2.933534605	-2.429393116	-1.956877698	0.809875	2.0885	2.864916667
