BEGINN_DATUM;BEGINN_UHRZEIT;ZEITZONE_VON;ENDE_DATUM;ENDE_UHRZEIT;ZEITZONE_BIS;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE;PRIMAERENERGIEART
21.12.2014;23:00;UTC;22.12.2014;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;500;720;11990;TransnetBW;TenneT DE;Kraftwerk Bexbach;Konventionell
21.12.2014;23:00;UTC;22.12.2014;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;305;437;7329;TenneT DE;50Hertz & TenneT DE;Zolling 5;Konventionell
22.12.2014;05:00;UTC;22.12.2014;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;1224;1518;22030;50Hertz;50Hertz & TenneT DE;Boxberg, Jänschwalde, Schwarze Pumpe;Konventionell
22.12.2014;06:00;UTC;22.12.2014;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;882;882;14994;50Hertz;50Hertz & TenneT DE;Lippendorf;Konventionell
22.12.2014;06:00;UTC;22.12.2014;16:30;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;285;285;2993;50Hertz;50Hertz & TenneT DE;Boxberg, Jänschwalde, Schwarze Pumpe;Konventionell
22.12.2014;06:00;UTC;22.12.2014;22:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;463;500;7410;TransnetBW;50Hertz;Rheinhafen-Dampfkraftwerk Karlsruhe;Konventionell
22.12.2014;06:00;UTC;22.12.2014;22:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;463;500;7410;TransnetBW;50Hertz;Kraftwerk Lippendorf;Konventionell
22.12.2014;06:00;UTC;22.12.2014;13:45;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;182;300;1410;TransnetBW;50Hertz;Vorarlberger Illwerke AG;Sonstiges
22.12.2014;06:00;UTC;22.12.2014;13:45;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;182;300;1410;TransnetBW;50Hertz;Kraftwerk Lippendorf;Konventionell
22.12.2014;06:00;UTC;22.12.2014;16:30;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;285;285;2992;Amprion;TenneT DE;Emsland KKE;Konventionell
22.12.2014;06:00;UTC;22.12.2014;16:30;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;258;285;2712;Amprion;TenneT DE;Emsland KKE;Konventionell
22.12.2014;08:30;UTC;22.12.2014;16:30;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;35;35;280;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Emsland (EON);Konventionell
22.12.2014;08:30;UTC;22.12.2014;16:30;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;35;35;280;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Emsland (EON);Konventionell
22.12.2014;11:00;UTC;22.12.2014;13:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;280;290;560;TransnetBW;50Hertz;Kraftwerk Bexbach;Konventionell
22.12.2014;11:00;UTC;22.12.2014;13:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;280;290;560;TransnetBW;50Hertz;Kraftwerk Lippendorf;Konventionell
22.12.2014;13:00;UTC;22.12.2014;22:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;256;300;2300;TransnetBW;50Hertz;Grosskraftwerk Mannheim AG ;Konventionell
22.12.2014;13:00;UTC;22.12.2014;22:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;256;300;2300;TransnetBW;50Hertz;Kraftwerk Lippendorf;Konventionell
22.12.2014;14:00;UTC;22.12.2014;15:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;82;82;82;TransnetBW;50Hertz;Kraftwerk Bexbach;Konventionell
22.12.2014;14:00;UTC;22.12.2014;15:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;82;82;82;TransnetBW;50Hertz;Kraftwerk Lippendorf;Konventionell
22.12.2014;15:00;UTC;22.12.2014;19:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;82;82;328;TransnetBW;50Hertz;Kraftwerk Lippendorf;Konventionell
22.12.2014;15:00;UTC;22.12.2014;19:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;82;82;328;TransnetBW;50Hertz;Vorarlberger Illwerke AG;Sonstiges
22.12.2014;16:00;UTC;22.12.2014;18:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;75;100;150;TransnetBW;TenneT DE;Grosskraftwerk Mannheim AG ;Konventionell
22.12.2014;19:00;UTC;22.12.2014;20:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;82;82;82;TransnetBW;50Hertz;Kraftwerk Bexbach;Konventionell
22.12.2014;19:00;UTC;22.12.2014;20:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;82;82;82;TransnetBW;50Hertz;Kraftwerk Lippendorf;Konventionell
22.12.2014;20:00;UTC;22.12.2014;21:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;232;232;232;TransnetBW;50Hertz;Kraftwerk Lippendorf;Konventionell
22.12.2014;20:00;UTC;22.12.2014;21:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;232;232;232;TransnetBW;50Hertz;Vorarlberger Illwerke AG;Sonstiges
22.12.2014;23:00;UTC;23.12.2014;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;314;435;7541;TenneT DE;50Hertz & TenneT DE;Zolling 5;Konventionell
22.12.2014;23:00;UTC;22.12.2014;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;882;882;21168;50Hertz;50Hertz & TenneT DE;Lippendorf;Konventionell
23.12.2014;05:00;UTC;22.12.2014;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;1417;2050;25500;50Hertz;50Hertz & TenneT DE;Boxberg, Jänschwalde, Lippendorf, Schkopau, Schwarze Pumpe;Konventionell
23.12.2014;05:00;UTC;23.12.2014;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;493;710;8875;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn;Konventionell
23.12.2014;05:00;UTC;23.12.2014;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;477;700;8580;TransnetBW;TenneT DE;Kraftwerk Bexbach;Konventionell
23.12.2014;05:30;UTC;23.12.2014;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;395;500;6907;TransnetBW;50Hertz;Rheinhafen-Dampfkraftwerk Karlsruhe;Konventionell
23.12.2014;05:30;UTC;23.12.2014;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;395;500;6907;TransnetBW;50Hertz;Kraftwerk Lippendorf;Konventionell
23.12.2014;05:30;UTC;23.12.2014;07:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;348;532;522;TransnetBW;50Hertz;Vorarlberger Illwerke AG;Sonstiges
23.12.2014;05:30;UTC;23.12.2014;07:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;348;532;522;TransnetBW;50Hertz;Kraftwerk Lippendorf;Konventionell
23.12.2014;06:00;UTC;23.12.2014;20:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;1139;1382;15948;50Hertz;50Hertz & PSE;Jänschwalde;Konventionell
23.12.2014;07:00;UTC;23.12.2014;22:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;224;340;3360;TransnetBW;50Hertz;Heizkraftwerk Heilbronn;Konventionell
23.12.2014;07:00;UTC;23.12.2014;22:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;224;340;3360;TransnetBW;50Hertz;Kraftwerk Lippendorf;Konventionell
23.12.2014;07:00;UTC;23.12.2014;20:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;228;325;2970;TransnetBW;50Hertz;Kraftwerk Bexbach;Konventionell
23.12.2014;07:00;UTC;23.12.2014;20:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;228;325;2970;TransnetBW;50Hertz;Kraftwerk Lippendorf;Konventionell
23.12.2014;11:00;UTC;23.12.2014;20:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;130;205;1174;TenneT DE;50Hertz & TenneT DE;Gebersdorf 2;Konventionell
23.12.2014;15:00;UTC;23.12.2014;22:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;102;182;714;TransnetBW;50Hertz;Vorarlberger Illwerke AG;Sonstiges
23.12.2014;15:00;UTC;23.12.2014;22:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;102;182;714;TransnetBW;50Hertz;Kraftwerk Lippendorf;Konventionell
23.12.2014;17:00;UTC;23.12.2014;18:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;130;130;130;TransnetBW;50Hertz;Kraftwerk Walheim;Konventionell
23.12.2014;17:00;UTC;23.12.2014;18:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;130;130;130;TransnetBW;50Hertz;Kraftwerk Lippendorf;Konventionell
23.12.2014;21:00;UTC;22.12.2014;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;250;250;500;50Hertz;50Hertz;Boxberg;Konventionell
23.12.2014;21:00;UTC;22.12.2014;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;250;250;500;50Hertz;50Hertz;Boxberg;Konventionell
