week	de_price_vol	de_load_vol	de_wind_vol	de_solar_vol	de_res_vol	de_wind_pen_vol	de_solar_pen_vol	de_res_pen_vol	de_exim_vol	de_load	de_wind	de_solar	de_res	de_wind_pen	de_solar_pen	de_res_pen	de_exim
50	2.627034888	8.493636051	7.935976194	4.072199151	7.928069489	-3.035659795	-7.267244549	-3.043166154	6.634509368	11.0229433	8.89481403	5.808309161	8.939463508	-2.099356605	-5.30782414	-2.059733563	1.064136905
51	2.548168268	8.765367964	8.040934132	5.133335736	8.028616141	-2.777097089	-6.085795003	-2.787973363	6.984582468	10.97983263	8.577068524	5.884801017	8.642600795	-2.350843565	-5.203115637	-2.294734494	0.137630952
52	3.42842911	8.443971144	8.220763695	5.53520919	8.256276998	-2.379604442	-5.335486304	-2.349383387	7.047976584	10.75015585	9.30696613	6.347248649	9.357501018	-1.402894629	-4.495389683	-1.358505979	0.197094907
53	1.738132463	8.299176099	7.988850676	6.308281695	7.960232824	-2.941986681	-4.579904655	-2.954783434	6.42214103	10.82527627	9.319690217	6.419296267	9.373232451	-1.492526577	-4.468171923	-1.442770687	0.991791667
54	1.615068512	8.299387032	7.502113829	5.802384764	7.417344065	-3.544384532	-5.036504116	-3.643460682	5.877456467	10.94700516	8.189407567	6.515829968	8.361320808	-2.754725117	-4.480041117	-2.590807921	2.275589286
55	2.037410925	8.587479041	7.754602444	5.343727507	7.697293969	-3.038266355	-5.892530374	-3.063910795	6.095251496	10.99003258	8.312729701	6.339406732	8.442875306	-2.61227601	-4.748004096	-2.500592848	2.650380952
56	2.319685682	8.351076963	8.199910695	5.038927383	8.185557344	-2.690607525	-5.949613083	-2.693845763	5.932629194	11.01467452	8.546858287	6.171130361	8.635735827	-2.407821252	-4.917304485	-2.329647755	2.362279762
57	1.749363489	8.458913108	8.728345467	5.805693699	8.728645008	-2.375119466	-5.158466639	-2.381001263	5.79750992	10.99916498	9.640384126	6.590945831	9.686681217	-1.354321163	-4.469907049	-1.310924074	1.344791667
58	2.008162085	8.367455928	8.72551547	5.700556048	8.694625242	-2.335597502	-5.144634564	-2.371711926	6.541315766	11.00034592	8.869737165	6.959175033	9.007755997	-2.151631619	-4.105496009	-2.019091054	2.254285714
59	1.640164917	8.719996181	7.928541348	5.662763758	7.976364759	-3.117555051	-5.282048729	-3.098194705	5.127725671	10.99372069	8.04032938	7.070549693	8.361808758	-2.97511889	-3.992085496	-2.666392001	2.853428571
60	1.939934434	8.538429798	7.64654273	5.975270314	7.489023859	-3.116546645	-5.213352648	-3.177611669	5.627858742	10.96410371	8.702979903	7.091962359	8.885038361	-2.226782892	-3.961835743	-2.064331719	2.66789881
